Typical Measured Spectrum of Semrock LPD02-785RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
999.2	0.97829
999.4	0.98078
999.6	0.98118
999.8	0.98043
1000.0	0.97967
1000.2	0.97924
1000.4	0.97894
1000.6	0.97721
1000.8	0.97844
1001.0	0.97817
1001.2	0.97793
1001.4	0.97669
1001.6	0.97683
1001.8	0.97821
1002.0	0.97953
1002.2	0.97888
1002.4	0.9785
1002.6	0.97732
1002.8	0.97628
1003.0	0.97809
1003.2	0.98138
1003.4	0.98165
1003.6	0.98105
1003.8	0.98086
1004.0	0.98167
1004.2	0.98266
1004.4	0.98131
1004.6	0.97898
1004.8	0.97876
1005.0	0.97802
1005.2	0.98008
1005.4	0.98209
1005.6	0.98431
1005.8	0.98559
1006.0	0.98657
1006.2	0.98645
1006.4	0.98673
1006.6	0.9859
1006.8	0.98559
1007.0	0.98548
1007.2	0.98357
1007.4	0.98006
1007.6	0.97881
1007.8	0.97934
1008.0	0.97997
1008.2	0.97703
1008.4	0.97525
1008.6	0.97541
1008.8	0.97682
1009.0	0.9751
1009.2	0.97434
1009.4	0.97726
1009.6	0.97989
1009.8	0.98054
1010.0	0.97974
1010.2	0.97939
1010.4	0.97909
1010.6	0.97881
1010.8	0.9778
1011.0	0.97775
1011.2	0.97694
1011.4	0.97847
1011.6	0.97819
1011.8	0.97789
1012.0	0.97654
1012.2	0.97433
1012.4	0.97347
1012.6	0.97423
1012.8	0.97516
1013.0	0.97852
1013.2	0.97836
1013.4	0.97832
1013.6	0.97727
1013.8	0.97645
1014.0	0.97691
1014.2	0.97593
1014.4	0.97679
1014.6	0.97757
1014.8	0.97962
1015.0	0.98069
1015.2	0.98073
1015.4	0.97829
1015.6	0.9759
1015.8	0.97461
1016.0	0.97468
1016.2	0.97414
1016.4	0.97465
1016.6	0.97589
1016.8	0.97712
1017.0	0.97758
1017.2	0.97687
1017.4	0.97789
1017.6	0.97948
1017.8	0.98002
1018.0	0.97902
1018.2	0.97988
1018.4	0.9819
1018.6	0.983
1018.8	0.98428
1019.0	0.98307
1019.2	0.98165
1019.4	0.98339
1019.6	0.98634
1019.8	0.98616
1020.0	0.9842
1020.2	0.98307
1020.4	0.98269
1020.6	0.98551
1020.8	0.98549
1021.0	0.98766
1021.2	0.98637
1021.4	0.98767
1021.6	0.98953
1021.8	0.98916
1022.0	0.98659
1022.2	0.98489
1022.4	0.98347
1022.6	0.98301
1022.8	0.98178
1023.0	0.98133
1023.2	0.98236
1023.4	0.98269
1023.6	0.98172
